boom_OD_mm,boom_wall_mm,strut_OD_mm,strut_wall_mm,frame_mass_kg,lg_mass_kg,total_mass_kg,frame_RF,lg_RF,min_RF,frame_VM_MPa,lg_VM_MPa,feasible
200.0,5.00,140.0,7.0,141.978,33.951,175.929,0.4547,2.1558,0.4547,769.65,233.32,0
200.0,5.00,140.0,8.0,141.978,38.509,180.487,0.4547,2.4133,0.4547,769.65,208.43,0
200.0,5.00,140.0,9.0,141.978,42.994,184.972,0.4547,2.6592,0.4547,769.65,189.15,0
200.0,5.00,140.0,10.0,141.978,47.407,189.385,0.4547,2.8939,0.4547,769.65,173.81,0
200.0,5.00,140.0,11.0,141.978,51.746,193.724,0.4547,3.1177,0.4547,769.65,161.34,0
200.0,5.00,140.0,12.0,141.978,56.013,197.991,0.4547,3.3310,0.4547,769.65,151.01,0
200.0,7.50,80.0,5.0,210.237,13.675,223.912,0.6568,0.5005,0.5005,532.90,1005.08,0
200.0,7.50,80.0,6.0,210.237,16.191,226.428,0.6568,0.5787,0.5787,532.90,869.22,0
200.0,7.50,80.0,7.0,210.237,18.635,228.871,0.6568,0.6505,0.6505,532.90,773.28,0
200.0,7.50,80.0,8.0,210.237,21.005,231.242,0.6568,0.7162,0.6568,532.90,702.32,0
200.0,7.50,80.0,9.0,210.237,23.302,233.539,0.6568,0.7762,0.6568,532.90,648.02,0
200.0,7.50,80.0,10.0,210.237,25.527,235.763,0.6568,0.8308,0.6568,532.90,605.42,0
200.0,7.50,80.0,11.0,210.237,27.678,237.915,0.6568,0.8804,0.6568,532.90,571.34,0
200.0,7.50,80.0,12.0,210.237,29.757,239.994,0.6568,0.9252,0.6568,532.90,543.66,0
200.0,7.50,90.0,5.0,210.237,15.498,225.735,0.6568,0.6431,0.6431,532.90,782.19,0
200.0,7.50,90.0,6.0,210.237,18.379,228.616,0.6568,0.7468,0.6568,532.90,673.57,0
200.0,7.50,90.0,7.0,210.237,21.187,231.424,0.6568,0.8430,0.6568,532.90,596.65,0
200.0,7.50,90.0,8.0,210.237,23.922,234.159,0.6568,0.9322,0.6568,532.90,539.57,0
200.0,7.50,90.0,9.0,210.237,26.584,236.821,0.6568,1.0147,0.6568,532.90,495.72,0
200.0,7.50,90.0,10.0,210.237,29.173,239.410,0.6568,1.0907,0.6568,532.90,461.15,0
200.0,7.50,90.0,11.0,210.237,31.690,241.926,0.6568,1.1607,0.6568,532.90,433.34,0
200.0,7.50,90.0,12.0,210.237,34.133,244.370,0.6568,1.2250,0.6568,532.90,410.61,0
200.0,7.50,100.0,5.0,210.237,17.322,227.558,0.6568,0.8026,0.6568,532.90,626.69,0
200.0,7.50,100.0,6.0,210.237,20.567,230.804,0.6568,0.9353,0.6568,532.90,537.81,0
200.0,7.50,100.0,7.0,210.237,23.740,233.977,0.6568,1.0595,0.6568,532.90,474.76,0
200.0,7.50,100.0,8.0,210.237,26.840,237.076,0.6568,1.1756,0.6568,532.90,427.87,0
200.0,7.50,100.0,9.0,210.237,29.866,240.103,0.6568,1.2840,0.6568,532.90,391.75,0
200.0,7.50,100.0,10.0,210.237,32.820,243.057,0.6568,1.3850,0.6568,532.90,363.18,0
200.0,7.50,100.0,11.0,210.237,35.701,245.938,0.6568,1.4790,0.6568,532.90,340.10,0
200.0,7.50,100.0,12.0,210.237,38.509,248.746,0.6568,1.5662,0.6568,532.90,321.16,0
200.0,7.50,110.0,5.0,210.237,19.145,229.382,0.6568,0.9789,0.6568,532.90,513.86,0
200.0,7.50,110.0,6.0,210.237,22.755,232.992,0.6568,1.1438,0.6568,532.90,439.75,0
200.0,7.50,110.0,7.0,210.237,26.293,236.529,0.6568,1.2994,0.6568,532.90,387.11,0
200.0,7.50,110.0,8.0,210.237,29.757,239.994,0.6568,1.4459,0.6568,532.90,347.89,0
200.0,7.50,110.0,9.0,210.237,33.148,243.385,0.6568,1.5836,0.6568,532.90,317.62,0
200.0,7.50,110.0,10.0,210.237,36.467,246.704,0.6568,1.7130,0.6568,532.90,293.63,0
200.0,7.50,110.0,11.0,210.237,39.712,249.949,0.6568,1.8344,0.6568,532.90,274.21,0
200.0,7.50,110.0,12.0,210.237,42.885,253.122,0.6568,1.9480,0.6568,532.90,258.21,0
200.0,7.50,120.0,5.0,210.237,20.968,231.205,0.6568,1.1715,0.6568,532.90,429.37,0
200.0,7.50,120.0,6.0,210.237,24.943,235.180,0.6568,1.3721,0.6568,532.90,366.59,0
200.0,7.50,120.0,7.0,210.237,28.845,239.082,0.6568,1.5623,0.6568,532.90,321.95,0
200.0,7.50,120.0,8.0,210.237,32.674,242.911,0.6568,1.7425,0.6568,532.90,288.66,0
200.0,7.50,120.0,9.0,210.237,36.430,246.667,0.6568,1.9131,0.6568,532.90,262.93,0
200.0,7.50,120.0,10.0,210.237,40.113,250.350,0.6568,2.0742,0.6568,532.90,242.50,0
200.0,7.50,120.0,11.0,210.237,43.724,253.960,0.6568,2.2264,0.6568,532.90,225.92,0
200.0,7.50,120.0,12.0,210.237,47.261,257.498,0.6568,2.3699,0.6568,532.90,212.24,0
200.0,7.50,130.0,5.0,210.237,22.792,233.028,0.6568,1.3802,0.6568,532.90,364.44,0
200.0,7.50,130.0,6.0,210.237,27.131,237.368,0.6568,1.6197,0.6568,532.90,310.55,0
200.0,7.50,130.0,7.0,210.237,31.398,241.635,0.6568,1.8479,0.6568,532.90,272.19,0
200.0,7.50,130.0,8.0,210.237,35.592,245.828,0.6568,2.0652,0.6568,532.90,243.56,0
200.0,7.50,130.0,9.0,210.237,39.712,249.949,0.6568,2.2718,0.6568,532.90,221.41,0
200.0,7.50,130.0,10.0,210.237,43.760,253.997,0.6568,2.4681,0.6568,532.90,203.80,0
